,Scores
x4 x10 x23,0.18370536832928597
x4 x6 x9,0.18239967044387684
x4 x9 x28,0.18066262037384995
x4 x6 x23,0.18018421561187425
x4 x10 x22,0.17841596404132964
x4 x7 x15,0.17798298783094313
x4 x6 x15,0.17683512845125304
x4 x15 x30,0.17662806552118315
x4 x14 x27,0.17660176280695628
x4 x6 x13,0.17645339118989112
